Cycle,Peak Timestamp,Low Timestamp,Acceleration Timestamp,Voltage,Slope,Acceleration
1,2024-06-26 15:23:00,2024-06-26 21:13:00,2024-06-26 15:29:00,88,-0.004166666666666667,-1.736111111111111e-05
1,2024-06-26 15:23:00,2024-06-26 21:13:00,2024-06-26 20:34:00,33,-0.016666666666666666,-0.0002777777777777778
2,2024-06-26 22:31:00,2024-06-27 02:33:00,2024-06-26 23:07:00,94,-0.008333333333333333,-6.944444444444444e-05
2,2024-06-26 22:31:00,2024-06-27 02:33:00,2024-06-27 00:44:00,81,-0.004166666666666667,-1.736111111111111e-05
2,2024-06-26 22:31:00,2024-06-27 02:33:00,2024-06-27 02:02:00,62,-0.016666666666666666,-0.0002777777777777778
2,2024-06-26 22:31:00,2024-06-27 02:33:00,2024-06-27 02:22:00,57,-0.016666666666666666,-0.0002777777777777778
3,2024-06-27 03:16:00,2024-06-27 06:59:00,2024-06-27 03:54:00,76,-0.016666666666666666,-0.0002777777777777778
3,2024-06-27 03:16:00,2024-06-27 06:59:00,2024-06-27 04:09:00,74,-0.002564102564102564,-3.287310979618672e-06
3,2024-06-27 03:16:00,2024-06-27 06:59:00,2024-06-27 04:33:00,68,-0.016666666666666666,-0.0002777777777777778
3,2024-06-27 03:16:00,2024-06-27 06:59:00,2024-06-27 05:35:00,53,-0.016666666666666666,-0.0002777777777777778
4,2024-06-27 14:12:00,2024-06-27 18:32:00,2024-06-27 16:07:00,85,-0.0033333333333333335,-1.1111111111111112e-05
4,2024-06-27 14:12:00,2024-06-27 18:32:00,2024-06-27 18:26:00,46,-0.008333333333333333,-6.944444444444444e-05
5,2024-06-27 19:45:00,2024-06-28 01:06:00,2024-06-27 20:33:00,75,-0.016666666666666666,-0.00020833333333333335
5,2024-06-27 19:45:00,2024-06-28 01:06:00,2024-06-27 21:05:00,66,-0.0033333333333333335,-1.1111111111111112e-05
6,2024-06-28 06:53:00,2024-06-28 14:51:00,2024-06-28 13:09:00,72,-0.016666666666666666,-0.0002777777777777778
6,2024-06-28 06:53:00,2024-06-28 14:51:00,2024-06-28 13:14:00,71,-0.008333333333333333,-6.944444444444444e-05
6,2024-06-28 06:53:00,2024-06-28 14:51:00,2024-06-28 13:39:00,65,-0.016666666666666666,-0.0002777777777777778
7,2024-06-28 15:42:00,2024-06-28 19:21:00,2024-06-28 15:45:00,76,-0.016666666666666666,-0.0001388888888888889
7,2024-06-28 15:42:00,2024-06-28 19:21:00,2024-06-28 17:09:00,54,-0.016666666666666666,-0.0002777777777777778
8,2024-06-28 21:11:00,2024-06-29 03:50:00,2024-06-29 00:13:00,83,-0.008333333333333333,-6.944444444444444e-05
8,2024-06-28 21:11:00,2024-06-29 03:50:00,2024-06-29 00:23:00,80,-0.016666666666666666,-0.0002777777777777778
